Room Number,Floor,Building Name,House Name,Room Type,Original Image
W417,4,Renee_Granville-Grossman,Halperin,Single,001_GGRC_Halperin_4_pdf_house_0.png
W419,4,Renee_Granville-Grossman,Halperin,Single,001_GGRC_Halperin_4_pdf_house_0.png
W423,4,Renee_Granville-Grossman,Halperin,Single,001_GGRC_Halperin_4_pdf_house_0.png
W426,4,Renee_Granville-Grossman,Halperin,Single,001_GGRC_Halperin_4_pdf_house_0.png
W428,4,Renee_Granville-Grossman,Halperin,Single,001_GGRC_Halperin_4_pdf_house_0.png
W432,4,Renee_Granville-Grossman,Halperin,Single,001_GGRC_Halperin_4_pdf_house_0.png
W409,4,Renee_Granville-Grossman,Halperin,Single,001_GGRC_Halperin_4_pdf_house_0.png
W401,4,Renee_Granville-Grossman,Halperin,Single,001_GGRC_Halperin_4_pdf_house_0.png
W408,4,Renee_Granville-Grossman,Halperin,Single,001_GGRC_Halperin_4_pdf_house_0.png
W404,4,Renee_Granville-Grossman,Halperin,Single,001_GGRC_Halperin_4_pdf_house_0.png
W421,4,Renee_Granville-Grossman,Halperin,Double,001_GGRC_Halperin_4_pdf_house_0.png
W407,4,Renee_Granville-Grossman,Halperin,Double,001_GGRC_Halperin_4_pdf_house_0.png
W405,4,Renee_Granville-Grossman,Halperin,Double,001_GGRC_Halperin_4_pdf_house_0.png
W403,4,Renee_Granville-Grossman,Halperin,Double,001_GGRC_Halperin_4_pdf_house_0.png
W410,4,Renee_Granville-Grossman,Halperin,Double,001_GGRC_Halperin_4_pdf_house_0.png
W406,4,Renee_Granville-Grossman,Halperin,Double,001_GGRC_Halperin_4_pdf_house_0.png
W402,4,Renee_Granville-Grossman,Halperin,Double,001_GGRC_Halperin_4_pdf_house_0.png
W431,4,Renee_Granville-Grossman,Halperin,Apartment,001_GGRC_Halperin_4_pdf_house_0.png
W425,4,Renee_Granville-Grossman,Halperin,RA,001_GGRC_Halperin_4_pdf_house_0.png
C803,8,Renee_Granville-Grossman,Crown,Single,002_GGRC_Crown_8_pdf_house_0.png
C805,8,Renee_Granville-Grossman,Crown,Single,002_GGRC_Crown_8_pdf_house_0.png
