Room Number,Floor,Building Name,House Name,Room Type,Original Image
356,5,Burton-Judson,Chamberlin,Double,026_BJ_Chamberlin_5_pdf_house_0.png
355,5,Burton-Judson,Chamberlin,Single,026_BJ_Chamberlin_5_pdf_house_0.png
354,5,Burton-Judson,Chamberlin,Single,026_BJ_Chamberlin_5_pdf_house_0.png
350A,5,Burton-Judson,Chamberlin,Single,026_BJ_Chamberlin_5_pdf_house_0.png
350B,5,Burton-Judson,Chamberlin,Single,026_BJ_Chamberlin_5_pdf_house_0.png
351,5,Burton-Judson,Chamberlin,Single,026_BJ_Chamberlin_5_pdf_house_0.png
352,5,Burton-Judson,Chamberlin,Single,026_BJ_Chamberlin_5_pdf_house_0.png
361,6,Burton-Judson,Chamberlin,Double,027_BJ_Chamberlin_6_pdf_house_0.png
360,6,Burton-Judson,Chamberlin,Double,027_BJ_Chamberlin_6_pdf_house_0.png
318,1,Burton-Judson,Chamberlin,Single,028_BJ_Chamberlin_1_pdf_house_0.png
317,1,Burton-Judson,Chamberlin,Single,028_BJ_Chamberlin_1_pdf_house_0.png
316,1,Burton-Judson,Chamberlin,Single,028_BJ_Chamberlin_1_pdf_house_0.png
315,1,Burton-Judson,Chamberlin,Single,028_BJ_Chamberlin_1_pdf_house_0.png
314,1,Burton-Judson,Chamberlin,Single,028_BJ_Chamberlin_1_pdf_house_0.png
310A,1,Burton-Judson,Chamberlin,Single,028_BJ_Chamberlin_1_pdf_house_0.png
310B,1,Burton-Judson,Chamberlin,Single,028_BJ_Chamberlin_1_pdf_house_0.png
311,1,Burton-Judson,Chamberlin,Single,028_BJ_Chamberlin_1_pdf_house_0.png
312,1,Burton-Judson,Chamberlin,Single,028_BJ_Chamberlin_1_pdf_house_0.png
313,1,Burton-Judson,Chamberlin,Single,028_BJ_Chamberlin_1_pdf_house_0.png

W123,,Burton-Judson,Chamberlin,,
